basename,image_path,mask_path,width,height
.._.._label-studio_label-studio_media_upload_5_c9e54ae4-anonymised_4516-021,/kaggle/working/images/train/anonymised_4516-021.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_c9e54ae4-anonymised_4516-021.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_55926137-anonymised_4516-026,/kaggle/working/images/train/anonymised_4516-026.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_55926137-anonymised_4516-026.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_325aa330-anonymised_4516-027,/kaggle/working/images/train/anonymised_4516-027.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_325aa330-anonymised_4516-027.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_398a6bc8-anonymised_4516-029,/kaggle/working/images/train/anonymised_4516-029.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_398a6bc8-anonymised_4516-029.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_ca700d42-anonymised_4516-036,/kaggle/working/images/train/anonymised_4516-036.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_ca700d42-anonymised_4516-036.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_e051d970-anonymised_4516-042,/kaggle/working/images/train/anonymised_4516-042.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_e051d970-anonymised_4516-042.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_db2685ac-anonymised_4516-052,/kaggle/working/images/train/anonymised_4516-052.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_db2685ac-anonymised_4516-052.png,2560,3328
.._.._label-studio_label-studio_media_upload_5_6d8a1c14-anonymised_4516-053,/kaggle/working/images/train/anonymised_4516-053.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_6d8a1c14-anonymised_4516-053.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_51457e05-anonymised_4613-009,/kaggle/working/images/train/anonymised_4613-009.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_51457e05-anonymised_4613-009.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_a83ae119-anonymised_4613-010,/kaggle/working/images/train/anonymised_4613-010.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_a83ae119-anonymised_4613-010.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_f0bc62ab-anonymised_4613-012,/kaggle/working/images/train/anonymised_4613-012.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f0bc62ab-anonymised_4613-012.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_8127e2c1-anonymised_4613-020,/kaggle/working/images/train/anonymised_4613-020.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_8127e2c1-anonymised_4613-020.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_b8c52bc4-anonymised_4613-023,/kaggle/working/images/train/anonymised_4613-023.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_b8c52bc4-anonymised_4613-023.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_9dea831d-anonymised_4613-027,/kaggle/working/images/train/anonymised_4613-027.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_9dea831d-anonymised_4613-027.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_7675d999-anonymised_4613-029,/kaggle/working/images/train/anonymised_4613-029.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_7675d999-anonymised_4613-029.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_1340ae4a-anonymised_5504-035,/kaggle/working/images/train/anonymised_5504-035.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_1340ae4a-anonymised_5504-035.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_07c2cbeb-anonymised_5504-036,/kaggle/working/images/train/anonymised_5504-036.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_07c2cbeb-anonymised_5504-036.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_6e811ce0-anonymised_5504-037,/kaggle/working/images/train/anonymised_5504-037.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_6e811ce0-anonymised_5504-037.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_5839fd9a-anonymised_5504-038,/kaggle/working/images/train/anonymised_5504-038.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_5839fd9a-anonymised_5504-038.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_5b913b7a-anonymised_5504-039,/kaggle/working/images/train/anonymised_5504-039.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_5b913b7a-anonymised_5504-039.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_a888e483-anonymised_5504-040,/kaggle/working/images/train/anonymised_5504-040.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_a888e483-anonymised_5504-040.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_71f3d969-anonymised_5504-041,/kaggle/working/images/train/anonymised_5504-041.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_71f3d969-anonymised_5504-041.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_326656ff-anonymised_5504-042,/kaggle/working/images/train/anonymised_5504-042.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_326656ff-anonymised_5504-042.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_f96a0e99-anonymised_5504-043,/kaggle/working/images/train/anonymised_5504-043.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f96a0e99-anonymised_5504-043.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_821a70d8-anonymised_5504-044,/kaggle/working/images/train/anonymised_5504-044.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_821a70d8-anonymised_5504-044.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_53b3303b-anonymised_5504-047,/kaggle/working/images/train/anonymised_5504-047.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_53b3303b-anonymised_5504-047.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_09f59463-anonymised_5507-010,/kaggle/working/images/train/anonymised_5507-010.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_09f59463-anonymised_5507-010.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_1c94daa1-anonymised_5508-051,/kaggle/working/images/train/anonymised_5508-051.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_1c94daa1-anonymised_5508-051.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_a56a2b6a-anonymised_5508-054,/kaggle/working/images/train/anonymised_5508-054.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_a56a2b6a-anonymised_5508-054.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_f80ad14a-anonymised_5508-055,/kaggle/working/images/train/anonymised_5508-055.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f80ad14a-anonymised_5508-055.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_9a846c5b-anonymised_5511-028,/kaggle/working/images/train/anonymised_5511-028.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_9a846c5b-anonymised_5511-028.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_ea0211e8-anonymised_5514-028,/kaggle/working/images/train/anonymised_5514-028.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_ea0211e8-anonymised_5514-028.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_9cf85bf5-anonymised_5514-031,/kaggle/working/images/train/anonymised_5514-031.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_9cf85bf5-anonymised_5514-031.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_b12e9618-anonymised_5514-032,/kaggle/working/images/train/anonymised_5514-032.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_b12e9618-anonymised_5514-032.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_7d9fb6f7-anonymised_5514-040,/kaggle/working/images/train/anonymised_5514-040.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_7d9fb6f7-anonymised_5514-040.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_8d2a4e8e-anonymised_5601-026,/kaggle/working/images/train/anonymised_5601-026.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_8d2a4e8e-anonymised_5601-026.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_d3a62079-anonymised_5602-043,/kaggle/working/images/train/anonymised_5602-043.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_d3a62079-anonymised_5602-043.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_204ed0dd-anonymised_5605-054,/kaggle/working/images/train/anonymised_5605-054.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_204ed0dd-anonymised_5605-054.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_49944b2b-anonymised_5605-055,/kaggle/working/images/train/anonymised_5605-055.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_49944b2b-anonymised_5605-055.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_329a3a00-anonymised_5605-058,/kaggle/working/images/train/anonymised_5605-058.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_329a3a00-anonymised_5605-058.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_d2fe4c66-anonymised_5606-011,/kaggle/working/images/train/anonymised_5606-011.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_d2fe4c66-anonymised_5606-011.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_f9218511-anonymised_5606-015,/kaggle/working/images/train/anonymised_5606-015.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f9218511-anonymised_5606-015.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_fd239df3-anonymised_5607-057,/kaggle/working/images/train/anonymised_5607-057.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_fd239df3-anonymised_5607-057.png,3507,2480
.._.._label-studio_label-studio_media_upload_5_1c3bbd3b-anonymised_5607-060,/kaggle/working/images/train/anonymised_5607-060.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_1c3bbd3b-anonymised_5607-060.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_0c7586b8-anonymised_5607-061,/kaggle/working/images/train/anonymised_5607-061.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_0c7586b8-anonymised_5607-061.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_723e627c-anonymised_5607-062,/kaggle/working/images/train/anonymised_5607-062.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_723e627c-anonymised_5607-062.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_24f74067-anonymised_5607-075,/kaggle/working/images/train/anonymised_5607-075.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_24f74067-anonymised_5607-075.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_95fb90d3-anonymised_5607-079,/kaggle/working/images/train/anonymised_5607-079.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_95fb90d3-anonymised_5607-079.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_f3512c2e-anonymised_5607-080,/kaggle/working/images/train/anonymised_5607-080.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f3512c2e-anonymised_5607-080.png,3520,4992
.._.._label-studio_label-studio_media_upload_5_20e78119-anonymised_5607-084,/kaggle/working/images/train/anonymised_5607-084.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_20e78119-anonymised_5607-084.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_dbb757a9-anonymised_5608-043,/kaggle/working/images/train/anonymised_5608-043.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_dbb757a9-anonymised_5608-043.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_6e113786-anonymised_5608-044,/kaggle/working/images/train/anonymised_5608-044.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_6e113786-anonymised_5608-044.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_73fcfece-anonymised_5608-047,/kaggle/working/images/train/anonymised_5608-047.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_73fcfece-anonymised_5608-047.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_99dea029-anonymised_5612-065,/kaggle/working/images/train/anonymised_5612-065.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_99dea029-anonymised_5612-065.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_b640d993-anonymised_5612-067,/kaggle/working/images/train/anonymised_5612-067.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_b640d993-anonymised_5612-067.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_dcf975ba-anonymised_5612-068,/kaggle/working/images/train/anonymised_5612-068.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_dcf975ba-anonymised_5612-068.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_351fe2c5-anonymised_5705-015,/kaggle/working/images/train/anonymised_5705-015.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_351fe2c5-anonymised_5705-015.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_7c048183-anonymised_5709-043,/kaggle/working/images/train/anonymised_5709-043.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_7c048183-anonymised_5709-043.png,3507,4960
.._.._label-studio_label-studio_media_upload_5_d16b1f01-anonymised_5709-044,/kaggle/working/images/train/anonymised_5709-044.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_d16b1f01-anonymised_5709-044.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_3f53903f-anonymised_5709-047,/kaggle/working/images/train/anonymised_5709-047.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_3f53903f-anonymised_5709-047.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_a7ebfa2a-anonymised_5709-049A,/kaggle/working/images/train/anonymised_5709-049A.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_a7ebfa2a-anonymised_5709-049A.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_1c587f4e-anonymised_5709-070,/kaggle/working/images/train/anonymised_5709-070.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_1c587f4e-anonymised_5709-070.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_83bc983d-anonymised_5709-071,/kaggle/working/images/train/anonymised_5709-071.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_83bc983d-anonymised_5709-071.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_93bf217f-anonymised_5710-028,/kaggle/working/images/train/anonymised_5710-028.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_93bf217f-anonymised_5710-028.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_213da5ff-anonymised_5710-036,/kaggle/working/images/train/anonymised_5710-036.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_213da5ff-anonymised_5710-036.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_e3d7b191-anonymised_5710-040,/kaggle/working/images/train/anonymised_5710-040.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_e3d7b191-anonymised_5710-040.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_58182b75-anonymised_5713-028,/kaggle/working/images/train/anonymised_5713-028.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_58182b75-anonymised_5713-028.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_9d3377ea-anonymised_5713-031,/kaggle/working/images/train/anonymised_5713-031.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_9d3377ea-anonymised_5713-031.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_f77f18ed-anonymised_5714-039,/kaggle/working/images/train/anonymised_5714-039.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f77f18ed-anonymised_5714-039.png,4960,3507
.._.._label-studio_label-studio_media_upload_5_3ba982c6-anonymised_5714-044,/kaggle/working/images/train/anonymised_5714-044.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_3ba982c6-anonymised_5714-044.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_f1274a20-anonymised_5714-050,/kaggle/working/images/train/anonymised_5714-050.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f1274a20-anonymised_5714-050.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_3ce305e3-anonymised_5714-058,/kaggle/working/images/train/anonymised_5714-058.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_3ce305e3-anonymised_5714-058.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_0a5d4b08-anonymised_5714-061,/kaggle/working/images/train/anonymised_5714-061.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_0a5d4b08-anonymised_5714-061.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_8cbbe3f9-anonymised_5714-077,/kaggle/working/images/train/anonymised_5714-077.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_8cbbe3f9-anonymised_5714-077.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_0e7d3b6d-anonymised_5714-078,/kaggle/working/images/train/anonymised_5714-078.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_0e7d3b6d-anonymised_5714-078.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_3d82e9b8-anonymised_6416-020,/kaggle/working/images/train/anonymised_6416-020.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_3d82e9b8-anonymised_6416-020.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_c7947954-anonymised_6503-021,/kaggle/working/images/train/anonymised_6503-021.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_c7947954-anonymised_6503-021.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_bdb541e8-anonymised_6503-022,/kaggle/working/images/train/anonymised_6503-022.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_bdb541e8-anonymised_6503-022.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_d9b14edc-anonymised_6503-024,/kaggle/working/images/train/anonymised_6503-024.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_d9b14edc-anonymised_6503-024.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_145a86d3-anonymised_6503-025,/kaggle/working/images/train/anonymised_6503-025.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_145a86d3-anonymised_6503-025.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_ddace8ef-anonymised_6503-027,/kaggle/working/images/train/anonymised_6503-027.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_ddace8ef-anonymised_6503-027.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_93a18bd9-anonymised_6503-028,/kaggle/working/images/train/anonymised_6503-028.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_93a18bd9-anonymised_6503-028.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_4c4ab505-anonymised_6503-032,/kaggle/working/images/train/anonymised_6503-032.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_4c4ab505-anonymised_6503-032.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_562c511e-anonymised_6506-063,/kaggle/working/images/train/anonymised_6506-063.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_562c511e-anonymised_6506-063.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_69d29090-anonymised_6506-068,/kaggle/working/images/train/anonymised_6506-068.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_69d29090-anonymised_6506-068.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_0912c0b6-anonymised_6507-069,/kaggle/working/images/train/anonymised_6507-069.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_0912c0b6-anonymised_6507-069.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_66842eba-anonymised_6507-071,/kaggle/working/images/train/anonymised_6507-071.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_66842eba-anonymised_6507-071.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_bc993f23-anonymised_6507-075,/kaggle/working/images/train/anonymised_6507-075.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_bc993f23-anonymised_6507-075.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_e58720f3-anonymised_6507-077,/kaggle/working/images/train/anonymised_6507-077.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_e58720f3-anonymised_6507-077.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_31e51fc2-anonymised_6507-091,/kaggle/working/images/train/anonymised_6507-091.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_31e51fc2-anonymised_6507-091.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_04e8572e-anonymised_6507-093,/kaggle/working/images/train/anonymised_6507-093.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_04e8572e-anonymised_6507-093.png,2560,3328
.._.._label-studio_label-studio_media_upload_5_2f7ebdae-anonymised_6507-097,/kaggle/working/images/train/anonymised_6507-097.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_2f7ebdae-anonymised_6507-097.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_0300eb02-anonymised_6507-099,/kaggle/working/images/train/anonymised_6507-099.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_0300eb02-anonymised_6507-099.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_58ca1406-anonymised_6509-009,/kaggle/working/images/train/anonymised_6509-009.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_58ca1406-anonymised_6509-009.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_a171355c-anonymised_6510-020,/kaggle/working/images/train/anonymised_6510-020.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_a171355c-anonymised_6510-020.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_5a6d4788-anonymised_6510-021,/kaggle/working/images/train/anonymised_6510-021.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_5a6d4788-anonymised_6510-021.png,2480,3507
